stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,level_id
ITOAUTO118927,,"Gare de Houilles - Carrières-sur-Seine",48.919472,2.185974,1,Europe/Paris,,,
ITOAUTO118928,,"Gare de Houilles - Carrières-sur-Seine",48.919727,2.185438,1,Europe/Paris,,,
ITOAUTO118952,,"Nicot / École Notre-Dame",48.894333,2.075573,1,,0,ITOAUTO118940,
ITOAUTO118954,,"Nicot / École Notre-Dame",48.894432,2.076635,1,,0,ITOAUTO118940,
ITOAUTO118957,,"Sainte-Honorine",48.911469,2.157229,2,,0,ITOAUTO118944,
ITOAUTO118958,,"Jean Jaurès - Vernouillet",48.974609,1.986771,2,,0,ITOAUTO118949,
ITOAUTO118960,,"Édouard Vaillant",48.942509,2.172644,1,,0,ITOAUTO118939,
ITOAUTO118961,,"Galvani Sud / Massy Europe",48.722488,2.271135,1,,0,ITOAUTO118941,
ITOAUTO118963,,"Égalité",48.907085,2.175035,1,,0,ITOAUTO118938,
ITOAUTO118967,,"Les Étangs",48.821793,2.182173,1,,0,ITOAUTO118951,
ITOAUTO118970,,"Édouard Vaillant",48.928505,2.212215,1,,0,ITOAUTO118934,
ITOAUTO118971,,"Église",48.945538,2.173442,1,,0,ITOAUTO118945,
ITOAUTO119015,,"Centre Commercial Val du Châtel",48.547852,3.293341,1,,0,ITOAUTO111344,
ITOAUTO119038,,"Gare du Bras de Fer",48.623531,2.452004,1,Europe/Paris,,,
ITOAUTO119041,,"Gare du Bras de Fer",48.623638,2.451501,1,Europe/Paris,,,
ITOAUTO119048,,"Émile Thiébaut",48.891472,2.129115,2,,0,ITOAUTO119032,
ITOAUTO119110,,"Place Charles Steber / Longjumeau",48.697453,2.293190,1,,0,ITOAUTO119105,
ITOAUTO119114,,"Rue de l'Aigle / Les Vallées",48.910469,2.254920,1,,0,ITOAUTO125930,
ITOAUTO119116,,"Place Verte / Villennes-sur-Seine",48.938641,1.995812,2,,0,ITOAUTO119100,
ITOAUTO119118,,"Senet / Triel-sur-Seine",48.979645,2.003819,2,,0,ITOAUTO119102,
ITOAUTO119122,,"Carpe qui tête / Juziers",48.989937,1.847292,1,,0,ITOAUTO119108,
ITOAUTO119128,,"Gabriel Péri / Viroflay Rive Gauche - Droite",48.803993,2.169218,1,,0,ITOAUTO119098,
ITOAUTO119131,,"Les Fonceaux",48.645721,2.237419,1,,0,PARIS5962,
ITOAUTO119132,,"Porte Maillot",48.877911,2.279560,1,Europe/Paris,,,
ITOAUTO119133,,"Place de Belgique / Bécon les Bruyères",48.903179,2.268925,1,,0,ITOAUTO119103,
ITOAUTO119134,,"Place de Belgique / Bécon les Bruyères",48.903378,2.268690,1,,0,ITOAUTO119103,
ITOAUTO119202,,"Paul Fort",48.648354,2.255300,1,,0,PARIS5984,
ITOAUTO119205,,"Résidence Fontanges / Bel Air",48.686649,2.291448,1,,0,ITOAUTO119197,
ITOAUTO119206,,"Le Mesnil",48.636837,2.222578,1,,0,ITOAUTO101665,
