source,target,airline,departure_ts,arrival_ts,distance,delay
DFW,MSY,AA,2015-01-02T17:41:00,2015-01-02T19:08:00,447,1.0
ORD,LAX,AA,2015-01-02T17:38:00,2015-01-02T19:57:00,1744,-2.0
DFW,ORD,AA,2015-01-02T19:33:00,2015-01-02T21:37:00,802,113.0
PHL,SEA,AS,2015-01-02T17:36:00,2015-01-02T20:39:00,2378,-4.0
LAX,SEA,AS,2015-01-02T17:35:00,2015-01-02T20:35:00,954,-5.0
IAH,SEA,AS,2015-01-02T17:45:00,2015-01-02T20:29:00,1874,5.0
BLI,HNL,AS,2015-01-02T17:36:00,2015-01-02T22:23:00,2715,-4.0
BOS,BWI,B6,2015-01-02T17:33:00,2015-01-02T18:58:00,369,-7.0
MSP,DCA,DL,2015-01-02T17:54:00,2015-01-02T21:06:00,931,14.0
MSP,FSD,DL,2015-01-02T17:37:00,2015-01-02T19:01:00,196,-3.0
DTW,SEA,DL,2015-01-02T17:38:00,2015-01-02T19:29:00,1927,-2.0
MSP,SJC,DL,2015-01-02T17:34:00,2015-01-02T19:15:00,1576,-6.0
MSP,MSO,DL,2015-01-02T17:44:00,2015-01-02T19:29:00,1013,4.0
EYW,ATL,DL,2015-01-02T17:39:00,2015-01-02T19:39:00,646,-1.0
IAH,MCI,EV,2015-01-02T17:38:00,2015-01-02T19:37:00,643,-2.0
DTW,IAH,EV,2015-01-02T17:36:00,2015-01-02T19:58:00,1075,-4.0
GRR,ORD,MQ,2015-01-02T18:44:00,2015-01-03T18:35:00,137,64.0
LGA,GSO,MQ,2015-01-02T17:32:00,2015-01-02T19:19:00,461,-8.0
DTW,FLL,NK,2015-01-02T18:09:00,2015-01-02T21:03:00,1127,29.0
IAH,TUS,OO,2015-01-02T20:54:00,2015-01-02T22:22:00,936,194.0
MSP,FAR,OO,2015-01-02T17:38:00,2015-01-02T18:59:00,223,-2.0
ORD,FWA,OO,2015-01-02T17:35:00,2015-01-02T19:27:00,157,-5.0
CVG,DTW,OO,2015-01-02T17:36:00,2015-01-02T18:50:00,229,-4.0
MSP,BIS,OO,2015-01-02T17:36:00,2015-01-02T19:34:00,386,-4.0
